Second,VolumeDb,PitchHz,MidiNote,Note
0,-32.6,0,-1,
1,-28.9,308,63,D#4
2,-27.1,65,36,C2
3,-26.3,132,48,C3
4,-25.5,248,59,B3
5,-25.8,214,57,A3
6,-26.1,65,36,C2
7,-25.2,345,65,F4
8,-25.6,464,70,A#4
9,-23.2,140,49,C#3
10,-30,235,58,A#3
11,-25.8,296,62,D4
12,-27.1,175,53,F3
13,-24.2,364,66,F#4
14,-24.1,194,55,G3
15,-23.1,132,48,C3
16,-26.9,103,44,G#2
17,-24.6,129,48,C3
18,-24.9,150,50,D3
19,-25.6,77,39,D#2
20,-23.4,397,67,G4
21,-27.5,290,62,D4
22,-23.8,113,45,A2
23,-19.4,288,62,D4
24,-18.8,1521,90,F#6
25,-21.1,246,59,B3
26,-19.2,199,55,G3
27,-19.3,302,62,D4
28,-18.1,1521,90,F#6
29,-18.5,1521,90,F#6
30,-18.7,1521,90,F#6
31,-19.6,274,61,C#4
32,-17.8,565,73,C#5
33,-20.1,290,62,D4
34,-17.6,339,64,E4
35,-18.8,290,62,D4
36,-20.6,1521,90,F#6
37,-18.4,1423,89,F6
38,-19.4,286,62,D4
39,-18.6,276,61,C#4
40,-17.8,479,70,A#4
41,-18.8,294,62,D4
42,-19.1,308,63,D#4
43,-18.5,668,76,E5
44,-18.9,306,63,D#4
45,-17.6,236,58,A#3
46,-17.8,306,63,D#4
47,-19.8,149,50,D3
48,-19.7,302,62,D4
49,-18,339,64,E4
50,-18.6,271,61,C#4
51,-17.8,1521,90,F#6
52,-18.9,1521,90,F#6
53,-19.1,135,49,C#3
54,-19.1,298,62,D4
55,-18.5,317,63,D#4
56,-17.4,1521,90,F#6
57,-17.7,1521,90,F#6
58,-19.1,339,64,E4
59,-20.7,246,59,B3
60,-17.8,1521,90,F#6
61,-19.6,361,66,F#4
62,-18.3,1521,90,F#6
63,-18.5,235,58,A#3
64,-20.2,313,63,D#4
65,-18.7,1521,90,F#6
66,-19,292,62,D4
67,-18.7,215,57,A3
68,-18.3,308,63,D#4
69,-19.6,313,63,D#4
70,-21.2,131,48,C3
71,-18.5,252,59,B3
72,-20.7,507,71,B4
73,-17.8,337,64,E4
74,-18,350,65,F4
75,-20.8,308,63,D#4
76,-19.4,531,72,C5
77,-19.9,1521,90,F#6
78,-19.2,292,62,D4
79,-17.8,1260,87,D#6
80,-19.9,306,63,D#4
81,-20.4,65,36,C2
82,-19.7,306,63,D#4
83,-18.9,302,62,D4
84,-18.3,1002,83,B5
85,-18.9,1521,90,F#6
86,-19.8,72,38,D2
87,-20.8,401,67,G4
88,-18.5,193,55,G3
89,-18.8,455,70,A#4
90,-17.2,281,61,C#4
91,-21.7,272,61,C#4
92,-21.5,101,44,G#2
93,-20.8,258,60,C4
94,-21.7,302,62,D4
95,-20.7,177,53,F3
96,-21.6,1423,89,F6
97,-21.5,298,62,D4
98,-20.4,246,59,B3
99,-22.9,266,60,C4
100,-21.5,279,61,C#4
101,-21.2,240,58,A#3
102,-18.3,264,60,C4
103,-20.1,286,62,D4
104,-18.9,1521,90,F#6
105,-18.7,1521,90,F#6
