Second,VolumeDb,PitchHz,MidiNote,Note
0,-53.5,0,-1,
1,-37.5,630,75,D#5
2,-41.6,455,70,A#4
3,-35,432,69,A4
4,-32.5,107,45,A2
5,-35.9,329,64,E4
6,-33.9,668,76,E5
7,-37.4,110,45,A2
8,-34.8,490,71,B4
9,-37.1,501,71,B4
10,-39.7,1521,90,F#6
11,-33.5,630,75,D#5
12,-35.1,455,70,A#4
13,-33,432,69,A4
14,-33.6,106,44,G#2
15,-36.3,332,64,E4
16,-33.5,658,76,E5
17,-37.8,110,45,A2
18,-35.3,485,71,B4
19,-37.9,496,71,B4
20,-36.2,1521,90,F#6
21,-31.2,332,64,E4
22,-33,596,74,D5
23,-34.8,596,74,D5
24,-38.1,298,62,D4
25,-37.2,166,52,E3
26,-33.8,332,64,E4
27,-38.4,630,75,D#5
28,-38.5,658,76,E5
29,-34.4,668,76,E5
30,-37.6,450,69,A4
31,-33.9,485,71,B4
32,-35,474,70,A#4
33,-34.6,332,64,E4
34,-33.9,166,52,E3
35,-36.7,220,57,A3
36,-37,165,52,E3
37,-39.6,459,70,A#4
38,-32.7,525,72,C5
39,-31.3,394,67,G4
40,-34.8,98,43,G2
41,-36.3,621,75,D#5
42,-36.6,302,62,D4
43,-36.1,332,64,E4
44,-35.2,334,64,E4
45,-38.9,649,76,E5
46,-37.7,668,76,E5
47,-39.3,519,72,C5
48,-41.7,445,69,A4
49,-34.2,464,70,A#4
50,-33.1,441,69,A4
51,-35.8,332,64,E4
52,-35.6,166,52,E3
53,-37.7,110,45,A2
54,-36.4,251,59,B3
55,-37.7,501,71,B4
56,-34.1,222,57,A3
57,-32.8,519,72,C5
58,-30.3,133,48,C3
59,-31.3,232,58,A#3
60,-26.9,361,66,F#4
61,-33,228,58,A#3
62,-30.8,519,72,C5
63,-31,604,74,D5
64,-30.3,689,77,F5
65,-32.6,196,55,G3
66,-30.2,397,67,G4
67,-26.6,353,65,F4
68,-29.3,723,78,F#5
69,-27.1,383,67,G4
70,-26,747,78,F#5
71,-32.8,658,76,E5
72,-35.7,166,52,E3
73,-47.2,0,-1,
74,-42.7,0,-1,
75,-49.7,0,-1,
76,-42.3,0,-1,
77,-38.6,668,76,E5
78,-35.1,658,76,E5
79,-39.1,531,72,C5
80,-35.5,259,60,C4
81,-32.9,83,40,E2
82,-35.4,519,72,C5
83,-34,649,76,E5
84,-37,459,70,A#4
85,-34.2,432,69,A4
86,-37,345,65,F4
87,-34.8,111,45,A2
88,-31.1,668,76,E5
89,-33.7,196,55,G3
90,-36.7,596,74,D5
91,-37.7,298,62,D4
92,-35.3,332,64,E4
93,-36,332,64,E4
94,-37.5,649,76,E5
95,-37.6,639,75,D#5
96,-43.6,0,-1,
97,-41.7,110,45,A2
98,-37.1,496,71,B4
99,-38.3,459,70,A#4
100,-37.3,332,64,E4
101,-35,658,76,E5
102,-37.8,111,45,A2
103,-36,83,40,E2
104,-37.9,359,65,F4
105,-42.1,111,45,A2
106,-34.4,110,45,A2
107,-39.4,111,45,A2
108,-35,531,72,C5
109,-31.8,140,49,C#3
110,-35,394,67,G4
111,-39.2,111,45,A2
112,-36.5,111,45,A2
113,-32.9,110,45,A2
114,-33,441,69,A4
115,-33.5,110,45,A2
116,-33.6,441,69,A4
117,-30,111,45,A2
118,-32.9,111,45,A2
119,-29.7,588,74,D5
120,-26.7,649,76,E5
121,-29.9,117,46,A#2
122,-33,118,46,A#2
123,-34,118,46,A#2
124,-32.1,588,74,D5
125,-31.8,459,70,A#4
126,-34.3,222,57,A3
127,-37.2,1521,90,F#6
128,-40.2,416,68,G#4
129,-48.4,0,-1,
130,-46,0,-1,
131,-35.2,220,57,A3
132,-27.4,519,72,C5
133,-24,919,82,A#5
134,-31.8,266,60,C4
135,-30.5,1470,90,F#6
136,-30.2,900,81,A5
137,-39.5,0,-1,
138,-37.2,588,74,D5
139,-37.8,1521,90,F#6
140,-35.6,165,52,E3
141,-36.3,507,71,B4
142,-34.8,332,64,E4
143,-35.3,507,71,B4
144,-35.3,219,57,A3
145,-37.1,164,52,E3
146,-37.5,455,70,A#4
147,-32.3,525,72,C5
148,-30.9,397,67,G4
149,-36,98,43,G2
150,-38.2,111,45,A2
151,-39.8,174,53,F3
152,-35.1,334,64,E4
153,-35.8,332,64,E4
154,-38.1,658,76,E5
155,-38.7,630,75,D#5
156,-39.1,639,75,D#5
157,-43,455,70,A#4
158,-37.7,420,68,G#4
159,-39.3,356,65,F4
160,-42.5,1521,90,F#6
161,-39.9,0,-1,
162,-39.8,596,74,D5
163,-41.6,110,45,A2
164,-38.9,110,45,A2
165,-46.9,0,-1,
166,-48.8,0,-1,
167,-50.2,0,-1,
168,-49.6,0,-1,
169,-56.5,0,-1,
170,-60,0,-1,
171,-60,0,-1,
172,-60,0,-1,
