Second,VolumeDb,PitchHz,MidiNote,Note
0,-60,0,-1,
1,-60,0,-1,
2,-60,0,-1,
3,-36.5,0,-1,
4,-35.6,292,62,D4
5,-25.9,329,64,E4
6,-28.3,322,64,E4
7,-23.4,882,81,A5
8,-30.9,324,64,E4
9,-20.8,329,64,E4
10,-23.2,217,57,A3
11,-47.7,0,-1,
12,-57.4,0,-1,
13,-30,0,-1,
14,-20.9,353,65,F4
15,-24.7,329,64,E4
16,-30.9,285,61,C#4
17,-32.2,264,60,C4
18,-30.3,266,60,C4
19,-29.5,292,62,D4
20,-20.9,324,64,E4
21,-31,329,64,E4
22,-31.7,332,64,E4
23,-35.1,327,64,E4
24,-60,0,-1,
25,-60,0,-1,
26,-32.4,0,-1,
27,-25.8,320,63,D#4
28,-23.1,368,66,F#4
29,-25.1,364,66,F#4
30,-23.8,368,66,F#4
31,-25.3,361,66,F#4
32,-19.3,364,66,F#4
33,-21.4,364,66,F#4
34,-20.8,383,67,G4
35,-22,368,66,F#4
36,-24,604,74,D5
37,-49.5,0,-1,
38,-30.2,271,61,C#4
39,-23.4,315,63,D#4
40,-20.4,324,64,E4
41,-22.2,356,65,F4
42,-23.4,279,61,C#4
43,-24.1,262,60,C4
44,-33.6,241,59,B3
45,-30.3,240,58,A#3
46,-24.1,327,64,E4
47,-34.2,306,63,D#4
48,-35.5,324,64,E4
49,-58.9,0,-1,
50,-60,0,-1,
51,-60,0,-1,
52,-28.2,285,61,C#4
53,-29.9,324,64,E4
54,-27.2,1521,90,F#6
55,-19.3,359,65,F4
56,-18.6,368,66,F#4
57,-23.7,1336,88,E6
58,-22.6,1521,90,F#6
59,-21.6,1521,90,F#6
60,-24.1,1521,90,F#6
61,-25.3,364,66,F#4
62,-30.7,1521,90,F#6
63,-30.3,1521,90,F#6
64,-27.7,1521,90,F#6
65,-22.7,334,64,E4
66,-18.5,394,67,G4
67,-21.5,322,64,E4
68,-24.6,1521,90,F#6
69,-25.6,1225,87,D#6
70,-25.2,658,76,E5
71,-25,1521,90,F#6
72,-23.9,327,64,E4
73,-30.2,170,52,E3
74,-29.2,178,53,F3
75,-28.6,377,66,F#4
76,-27.5,1521,90,F#6
77,-27,1521,90,F#6
78,-26.4,1521,90,F#6
79,-25.6,1521,90,F#6
80,-21.2,332,64,E4
81,-20.1,387,67,G4
82,-19.8,380,66,F#4
83,-25.1,1521,90,F#6
84,-27.3,264,60,C4
85,-29.9,1521,90,F#6
86,-26.5,1521,90,F#6
87,-23.6,1521,90,F#6
88,-19.9,350,65,F4
89,-17.8,405,68,G#4
90,-22.9,1521,90,F#6
91,-25.7,1521,90,F#6
92,-26.9,1521,90,F#6
93,-27.4,86,41,F2
94,-29,246,59,B3
95,-30,1521,90,F#6
96,-30.7,1521,90,F#6
97,-28.5,1521,90,F#6
98,-25.4,322,64,E4
99,-25.5,1521,90,F#6
100,-26.6,225,57,A3
101,-25.4,1521,90,F#6
102,-25.7,1521,90,F#6
103,-26,219,57,A3
104,-27.3,1521,90,F#6
105,-26.7,1521,90,F#6
106,-25.5,1521,90,F#6
107,-28.7,1521,90,F#6
108,-28.3,1521,90,F#6
109,-26.3,1521,90,F#6
110,-27.3,90,41,F2
111,-26.8,1521,90,F#6
112,-24,1521,90,F#6
113,-23.6,327,64,E4
114,-22.4,364,66,F#4
115,-21.7,371,66,F#4
116,-23.8,1521,90,F#6
117,-25.5,1521,90,F#6
118,-28.2,1521,90,F#6
119,-26.3,1521,90,F#6
120,-24.9,1521,90,F#6
121,-26.2,1521,90,F#6
122,-27.1,1521,90,F#6
123,-26.3,1521,90,F#6
124,-28.6,1521,90,F#6
125,-32.2,1521,90,F#6
126,-30,1521,90,F#6
127,-20.2,361,66,F#4
128,-23.7,1423,89,F6
129,-25,368,66,F#4
130,-26.5,350,65,F4
131,-25.2,621,75,D#5
132,-20,397,67,G4
133,-25.2,294,62,D4
134,-25.6,292,62,D4
135,-26.3,156,51,D#3
136,-25.3,162,52,E3
137,-24.6,1521,90,F#6
138,-25.3,298,62,D4
139,-26.2,298,62,D4
140,-26.3,298,62,D4
141,-26.7,148,50,D3
142,-27.1,658,76,E5
143,-27.5,747,78,F#5
144,-26,700,77,F5
145,-19.1,368,66,F#4
146,-21.8,374,66,F#4
147,-22.6,387,67,G4
148,-25.4,165,52,E3
149,-22.4,1521,90,F#6
150,-18.9,380,66,F#4
151,-23.7,292,62,D4
152,-24.2,261,60,C4
153,-26.5,148,50,D3
154,-20,120,47,B2
155,-23,1521,90,F#6
156,-21.3,1521,90,F#6
157,-23.5,371,66,F#4
158,-24.2,1521,90,F#6
159,-20.1,1521,90,F#6
160,-22.4,294,62,D4
161,-24.4,266,60,C4
162,-24.8,161,52,E3
163,-24.5,162,52,E3
164,-21.8,368,66,F#4
165,-21.9,161,52,E3
166,-20.7,322,64,E4
167,-21.2,359,65,F4
168,-21.8,1521,90,F#6
169,-23.1,290,62,D4
170,-25.1,177,53,F3
171,-25.4,132,48,C3
172,-25.9,74,38,D2
173,-23.8,245,59,B3
174,-29.2,224,57,A3
175,-24.1,188,54,F#3
176,-29.2,1470,90,F#6
177,-24.4,188,54,F#3
178,-24.9,1521,90,F#6
179,-27.5,1521,90,F#6
180,-23.7,192,55,G3
181,-23.3,639,75,D#5
182,-24.1,162,52,E3
183,-26,184,54,F#3
184,-26.8,1423,89,F6
185,-28.1,1521,90,F#6
186,-24.3,1521,90,F#6
187,-24.4,1521,90,F#6
188,-27.7,1260,87,D#6
189,-23,191,55,G3
190,-24.6,1470,90,F#6
191,-24.4,163,52,E3
192,-25.8,181,54,F#3
193,-26.9,1423,89,F6
194,-27.7,162,52,E3
195,-26.3,1521,90,F#6
196,-28.7,1470,90,F#6
197,-32.1,1521,90,F#6
198,-29.6,1521,90,F#6
199,-23.5,1521,90,F#6
200,-23.6,185,54,F#3
201,-21.1,361,66,F#4
202,-23,1521,90,F#6
203,-22.4,337,64,E4
204,-22,1521,90,F#6
205,-23.4,1521,90,F#6
206,-24.7,1521,90,F#6
207,-25.2,134,48,C3
208,-24.9,111,45,A2
209,-23.3,507,71,B4
210,-27.3,99,43,G2
211,-23.7,199,55,G3
212,-25.4,1521,90,F#6
213,-19.9,1521,90,F#6
214,-20.5,1423,89,F6
215,-22.9,1521,90,F#6
216,-21,97,43,G2
217,-19.6,1521,90,F#6
218,-22.7,165,52,E3
219,-23.4,184,54,F#3
220,-22.7,1521,90,F#6
221,-20.8,364,66,F#4
222,-22,1521,90,F#6
223,-21.9,1521,90,F#6
224,-23.6,1521,90,F#6
225,-20.8,94,42,F#2
226,-20.9,1470,90,F#6
227,-21.9,160,51,D#3
228,-22.9,162,52,E3
229,-23.3,1521,90,F#6
230,-21.3,304,63,D#4
231,-22.2,1521,90,F#6
232,-23.5,1521,90,F#6
233,-23.2,1521,90,F#6
234,-24.6,390,67,G4
235,-21,1521,90,F#6
236,-24.4,490,71,B4
237,-23.2,496,71,B4
238,-21.9,1521,90,F#6
239,-21.3,496,71,B4
240,-22,496,71,B4
241,-23.3,124,47,B2
242,-21.2,496,71,B4
243,-22.6,147,50,D3
244,-21.3,1026,84,C6
245,-24.7,428,69,A4
246,-23.4,450,69,A4
247,-21.2,1521,90,F#6
248,-21.8,441,69,A4
249,-22.7,219,57,A3
250,-24.3,1521,90,F#6
251,-23.6,401,67,G4
252,-25.6,387,67,G4
253,-20.8,1521,90,F#6
254,-25.7,1521,90,F#6
255,-24.2,1470,90,F#6
256,-24.4,1521,90,F#6
257,-23,144,50,D3
258,-25.7,1521,90,F#6
259,-24,1521,90,F#6
260,-22.1,1521,90,F#6
261,-24,1521,90,F#6
262,-22.1,1521,90,F#6
263,-25.7,88,41,F2
264,-24,490,71,B4
265,-21.3,1521,90,F#6
266,-21.7,501,71,B4
267,-22.9,165,52,E3
268,-23.2,1521,90,F#6
269,-21.5,490,71,B4
270,-22.4,1521,90,F#6
271,-21,1521,90,F#6
272,-25.6,394,67,G4
273,-24.3,1521,90,F#6
274,-20.9,1521,90,F#6
275,-23.3,76,39,D#2
276,-24.7,65,36,C2
277,-22.8,133,48,C3
278,-20.1,1521,90,F#6
279,-23.8,1102,85,C#6
280,-21.9,1521,90,F#6
281,-26.2,1521,90,F#6
282,-23.3,334,64,E4
283,-21.3,1102,85,C#6
284,-21.8,315,63,D#4
285,-23.2,1521,90,F#6
286,-21.7,380,66,F#4
287,-22.4,689,77,F5
288,-21.8,700,77,F5
289,-22.4,1521,90,F#6
290,-26.6,1521,90,F#6
