Second,VolumeDb,PitchHz,MidiNote,Note
0,-25.1,0,-1,
1,-23.4,78,39,D#2
2,-23.9,186,54,F#3
3,-23.1,185,54,F#3
4,-22.1,117,46,A#2
5,-22.9,230,58,A#3
6,-21.3,125,47,B2
7,-21.6,156,51,D#3
8,-21.4,125,47,B2
9,-21.3,125,47,B2
10,-21.2,138,49,C#3
11,-22.1,93,42,F#2
12,-21.6,277,61,C#4
13,-22.5,277,61,C#4
14,-21.8,93,42,F#2
15,-21.9,233,58,A#3
16,-20.9,274,61,C#4
17,-21.7,70,37,C#2
18,-21.4,174,53,F3
19,-20.7,175,53,F3
20,-22.3,174,53,F3
21,-23.8,153,51,D#3
22,-19.4,1521,90,F#6
23,-21.1,78,39,D#2
24,-21.8,1521,90,F#6
25,-22.5,1521,90,F#6
26,-20.5,77,39,D#2
27,-20.2,1521,90,F#6
28,-22.7,1521,90,F#6
29,-22.8,1192,86,D6
30,-19.1,1521,90,F#6
31,-19.7,138,49,C#3
32,-20.3,1521,90,F#6
33,-22.5,1521,90,F#6
34,-21.6,139,49,C#3
35,-21.3,206,56,G#3
36,-21.4,70,37,C#2
37,-21.7,119,46,A#2
38,-20.2,70,37,C#2
39,-20.4,1131,85,C#6
40,-18,1521,90,F#6
41,-18.5,1521,90,F#6
42,-19.9,133,48,C3
43,-19.5,1521,90,F#6
44,-19.6,1521,90,F#6
45,-21,1521,90,F#6
46,-20.2,78,39,D#2
47,-19.1,281,61,C#4
48,-19.9,290,62,D4
49,-20.9,157,51,D#3
50,-18,1521,90,F#6
51,-19.6,158,51,D#3
52,-17.4,1521,90,F#6
53,-18.4,1521,90,F#6
54,-20.9,121,47,B2
55,-20.1,138,49,C#3
56,-19.1,1521,90,F#6
57,-20.3,139,49,C#3
58,-19.6,120,46,A#2
59,-19.7,88,41,F2
60,-19.2,1521,90,F#6
61,-18.5,70,37,C#2
62,-17.4,1131,85,C#6
63,-18.4,134,48,C3
64,-14.5,938,82,A#5
65,-16,1521,90,F#6
66,-17.2,1521,90,F#6
67,-16.8,760,78,F#5
68,-16.7,1521,90,F#6
69,-17.1,1521,90,F#6
70,-16.3,1521,90,F#6
71,-14.8,1521,90,F#6
72,-15.7,711,77,F5
73,-14.6,1521,90,F#6
74,-17.9,1521,90,F#6
75,-16.9,1521,90,F#6
76,-17.5,1521,90,F#6
77,-15.9,1521,90,F#6
78,-15.9,1521,90,F#6
79,-17.8,93,42,F#2
80,-17.1,1521,90,F#6
81,-17.2,1521,90,F#6
82,-16.3,1521,90,F#6
83,-15.1,1521,90,F#6
84,-16.5,1521,90,F#6
85,-16.2,1521,90,F#6
86,-13.6,1470,90,F#6
87,-16.2,377,66,F#4
88,-16.1,1470,90,F#6
89,-15.1,1521,90,F#6
90,-15.9,1521,90,F#6
91,-15.5,1423,89,F6
92,-16.8,1521,90,F#6
93,-14.8,1521,90,F#6
94,-16.3,1521,90,F#6
95,-16.4,558,73,C#5
96,-16.1,1521,90,F#6
97,-14.5,1521,90,F#6
98,-15.3,1521,90,F#6
99,-15.2,95,42,F#2
100,-15.5,1521,90,F#6
101,-14.2,1521,90,F#6
102,-14.5,1521,90,F#6
